epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,7680.25,1.54162,1.64723,1.76529,0.72277,0.71012,0.75386,0.44597,1.4403,1.4776,1.72645,0.00116728,0.00116728,0.00116728
57,7817.3,1.5458,1.61412,1.74426,0.77014,0.7113,0.76602,0.46387,1.41887,1.62756,1.71037,0.00116252,0.00116252,0.00116252
58,7954.06,1.52454,1.63518,1.75994,0.74676,0.6898,0.74043,0.44526,1.43953,1.53567,1.71602,0.00115776,0.00115776,0.00115776
59,8090.92,1.48659,1.53238,1.71968,0.74133,0.71574,0.767,0.4572,1.42426,1.44284,1.70853,0.001153,0.001153,0.001153
60,8227.82,1.48747,1.52686,1.71998,0.75063,0.73627,0.75871,0.45805,1.43915,1.42872,1.68388,0.00114824,0.00114824,0.00114824
61,8364.73,1.49995,1.55214,1.72422,0.73611,0.71635,0.76444,0.46361,1.40174,1.61203,1.66572,0.00114349,0.00114349,0.00114349
62,8501.58,1.45666,1.52001,1.70816,0.73974,0.74462,0.76893,0.47295,1.38743,1.37094,1.64311,0.00113873,0.00113873,0.00113873
63,8638.35,1.46518,1.5304,1.7017,0.78186,0.7365,0.78268,0.48011,1.38317,1.33664,1.66904,0.00113397,0.00113397,0.00113397
64,8775.24,1.48117,1.55109,1.71802,0.78232,0.71533,0.77069,0.46181,1.4052,1.5479,1.6708,0.00112921,0.00112921,0.00112921
65,8911.92,1.47054,1.55334,1.70175,0.79676,0.71998,0.78371,0.4848,1.35757,1.40811,1.64117,0.00112445,0.00112445,0.00112445
66,9048.7,1.43022,1.48259,1.68358,0.8071,0.73401,0.78313,0.48332,1.38974,1.36392,1.66702,0.00111969,0.00111969,0.00111969
67,9185.49,1.45862,1.45392,1.68828,0.78767,0.74979,0.79785,0.49951,1.35685,1.33585,1.62206,0.00111493,0.00111493,0.00111493
68,9322.4,1.47137,1.48189,1.67636,0.77976,0.74038,0.77148,0.46448,1.38065,1.38011,1.64539,0.00111018,0.00111018,0.00111018
69,9459.04,1.45261,1.46162,1.6889,0.74846,0.75108,0.78211,0.48161,1.34828,1.30433,1.62235,0.00110542,0.00110542,0.00110542
70,9595.76,1.45601,1.48432,1.67612,0.81366,0.72059,0.79056,0.49216,1.36517,1.29464,1.62726,0.00110066,0.00110066,0.00110066
71,9732.39,1.41524,1.43037,1.6502,0.77913,0.72637,0.79395,0.4935,1.37047,1.32333,1.62535,0.0010959,0.0010959,0.0010959
72,9869.1,1.44577,1.45994,1.68375,0.78103,0.74114,0.79311,0.48394,1.40712,1.30654,1.66411,0.00109114,0.00109114,0.00109114
73,10005.7,1.40635,1.45343,1.67168,0.78838,0.74759,0.80471,0.50187,1.33113,1.23802,1.5819,0.00108638,0.00108638,0.00108638
74,10142.4,1.43708,1.47923,1.67264,0.79427,0.77298,0.81019,0.50743,1.34762,1.25826,1.62784,0.00108162,0.00108162,0.00108162
75,10279.2,1.43246,1.45798,1.66122,0.74906,0.74531,0.75894,0.47799,1.33034,1.34113,1.6147,0.00107687,0.00107687,0.00107687
76,10416,1.40484,1.43674,1.64461,0.79352,0.76001,0.80148,0.50304,1.32527,1.48138,1.61542,0.00107211,0.00107211,0.00107211
77,10552.7,1.3817,1.40682,1.62888,0.77314,0.68409,0.77192,0.48982,1.38238,1.56311,1.64043,0.00106735,0.00106735,0.00106735
78,10689.4,1.396,1.36641,1.62308,0.83594,0.77182,0.831,0.52053,1.29352,1.23787,1.57923,0.00106259,0.00106259,0.00106259
79,10826.2,1.38557,1.38524,1.62761,0.76491,0.7541,0.80722,0.50387,1.34384,1.29904,1.63074,0.00105783,0.00105783,0.00105783
80,10962.8,1.41581,1.39266,1.63926,0.8009,0.78777,0.83378,0.52452,1.30874,1.18773,1.5793,0.00105307,0.00105307,0.00105307
81,11099.4,1.39119,1.41726,1.65072,0.77444,0.78165,0.82066,0.52461,1.31605,1.19374,1.5789,0.00104831,0.00104831,0.00104831
82,11236.2,1.36822,1.36493,1.61624,0.83869,0.78839,0.84512,0.54597,1.28473,1.16478,1.56111,0.00104356,0.00104356,0.00104356
83,11372.9,1.38857,1.3669,1.61821,0.83085,0.75917,0.82913,0.53356,1.29768,1.20608,1.58125,0.0010388,0.0010388,0.0010388
84,11509.5,1.36026,1.37225,1.61102,0.77866,0.79116,0.82163,0.50871,1.3104,1.2005,1.59072,0.00103404,0.00103404,0.00103404
85,11646.1,1.35941,1.36478,1.60848,0.85283,0.77192,0.84738,0.54223,1.28125,1.16257,1.55692,0.00102928,0.00102928,0.00102928
86,11782.9,1.35363,1.34565,1.60732,0.82159,0.76679,0.82603,0.52451,1.3181,1.21836,1.57364,0.00102452,0.00102452,0.00102452
87,11919.5,1.32334,1.3067,1.57102,0.85031,0.77355,0.84347,0.54715,1.2541,1.16039,1.52735,0.00101976,0.00101976,0.00101976
88,12056.2,1.38354,1.36341,1.60326,0.81863,0.79362,0.83753,0.55041,1.2568,1.13142,1.53253,0.001015,0.001015,0.001015
89,12192.9,1.34785,1.31943,1.59897,0.77289,0.7789,0.81848,0.52153,1.28983,1.17149,1.58475,0.00101025,0.00101025,0.00101025
90,12329.7,1.35404,1.3091,1.59081,0.85544,0.77413,0.83703,0.53382,1.28685,1.1595,1.56288,0.00100549,0.00100549,0.00100549
91,12466.4,1.34465,1.29552,1.59057,0.83591,0.80689,0.85008,0.54642,1.29309,1.13993,1.56353,0.00100073,0.00100073,0.00100073
92,12603.2,1.37941,1.34544,1.61843,0.82201,0.79057,0.83656,0.54363,1.26456,1.13164,1.56088,0.00099597,0.00099597,0.00099597
93,12740,1.33984,1.30443,1.58028,0.83517,0.77503,0.83027,0.54846,1.25136,1.15526,1.53637,0.000991212,0.000991212,0.000991212
94,12876.8,1.29407,1.30305,1.57239,0.81986,0.77375,0.84103,0.55772,1.249,1.09446,1.53456,0.000986453,0.000986453,0.000986453
95,13013.6,1.34453,1.33792,1.58768,0.80426,0.77631,0.81348,0.53423,1.28579,1.19271,1.55252,0.000981694,0.000981694,0.000981694
96,13150.3,1.3208,1.25016,1.54632,0.79739,0.80285,0.83336,0.54375,1.28958,1.12146,1.53933,0.000976936,0.000976936,0.000976936
97,13287,1.29571,1.24179,1.5439,0.83333,0.79984,0.84509,0.55134,1.25032,1.12175,1.51711,0.000972177,0.000972177,0.000972177
98,13423.8,1.28251,1.28437,1.54074,0.77729,0.79838,0.82889,0.54203,1.27499,1.14476,1.51903,0.000967419,0.000967419,0.000967419
99,13560.6,1.32699,1.2942,1.55951,0.81537,0.80398,0.85957,0.58019,1.20763,1.09822,1.49237,0.00096266,0.00096266,0.00096266
100,13697.4,1.30342,1.2635,1.56342,0.76254,0.79873,0.84621,0.55364,1.25603,1.08538,1.52165,0.000957902,0.000957902,0.000957902
101,13834,1.31997,1.27034,1.55541,0.79544,0.7998,0.84646,0.55568,1.26306,1.13033,1.52293,0.000953143,0.000953143,0.000953143
102,13970.8,1.31697,1.24784,1.55088,0.82467,0.82543,0.85432,0.55735,1.25146,1.08936,1.52011,0.000948384,0.000948384,0.000948384
103,14107.5,1.31268,1.21578,1.5302,0.87058,0.80672,0.86511,0.57119,1.2614,1.05397,1.51847,0.000943626,0.000943626,0.000943626
104,14244.2,1.28718,1.22378,1.55237,0.85249,0.78634,0.85,0.55821,1.24282,1.06885,1.50781,0.000938867,0.000938867,0.000938867
105,14381,1.31682,1.24826,1.54656,0.84125,0.80216,0.84243,0.55727,1.26297,1.10485,1.5285,0.000934109,0.000934109,0.000934109
106,14517.6,1.28862,1.21418,1.53244,0.84004,0.8008,0.84306,0.56147,1.2157,1.09938,1.49106,0.00092935,0.00092935,0.00092935
107,14654.3,1.2607,1.23943,1.51625,0.81769,0.81498,0.86347,0.56897,1.2052,1.04378,1.4881,0.000924592,0.000924592,0.000924592
108,14790.8,1.27972,1.24289,1.53462,0.81584,0.78674,0.83218,0.54358,1.28837,1.0677,1.53873,0.000919833,0.000919833,0.000919833
109,14927.5,1.32264,1.2596,1.54679,0.85859,0.81678,0.86329,0.57543,1.23349,1.07109,1.50329,0.000915074,0.000915074,0.000915074
110,15064.1,1.32829,1.22642,1.55457,0.83197,0.82449,0.86066,0.57217,1.21697,1.09794,1.49241,0.000910316,0.000910316,0.000910316
